Topic,Definition of the topic,Rate of The Definition
cup,cup (s),0
cup,bottle,0
cup, We calibrate with it,1
cup, It is placed with a cup of coffee,1
cup,We drink in it,2
cup,A cup to drink from,2
cup,We put water/juice/tea in it and drink it,2
cup,Something made of glass that we drink from,2
cup,"Something to put water, juice, tea in",2
 Veil,Colorful,0
 Veil,short,0
 Veil,At his death,0
 Veil,My mother's,0
 Veil,Made of silk and cotton,1
 Veil,We wear it and pray/go out with it,1
 Veil,We wrap it up and wear it (S),1
 Veil,Women wear it,1
 Veil,wear (s),1
 Veil,We wear it and go out with it,1
 Veil,Women wear it on their heads when they go out on the street,2
 Veil,Something for a girl to cover her hair with,2
 Veil,A covering that a girl wears on her head when praying and going out,2
 Veil, scarf that we wear on our heads,2
 Veil,head cover,2
 Veil,A Muslim girl puts it on her head and it is a head covering,2
 Veil,Hair cover,2
 an orange, It means orange (s),0
 an orange,Round,0
 an orange,juice,0
 an orange,Tasty,0
 an orange,Yellow and green,0
 an orange,We eat it,1
 an orange,Type of fruit (S),1
 an orange,We eat it and color it,1
 an orange,orange,1
 an orange,fruit (s),1
 an orange,We eat it (S),1
 an orange,We peel it and eat it,1
 an orange,Round fruit and we eat it,2
 an orange,Fruit (rounded winter/orange in color/pinkle),2
 an orange,A winter fruit that we eat and make juice from,2
 dog,He runs and drinks,0
 dog,Floating,0
 dog,Dodge (S),0
 dog,He eats cats,0
 dog,An animal walking in the street,0
 dog,Bihuhu (S),1
 dog,"In the street, he bites and dies",1
 dog,An animal that may be a predator first,1
 dog,pet that we can raise at home,2
 dog,A loyal animal and friend of man,2
 dog,An animal guards us,2
 dog,A dog in the street guarding the house or land,2
parrot,Beitir (S),0
parrot,We eat it,0
parrot,A domestic animal that lives in agricultural areas,0
parrot,domestic,0
parrot,Colored crow (S),0
parrot,Bathroom uniform,0
parrot,bird,1
parrot,"Bagghan, a bird",1
parrot,He repeats the words (S),1
parrot,It eats grains and has a beautiful color,1
parrot,He flies and lives in a nest,1
parrot,He sings,1
parrot,A bird repeating the words,2
parrot,A bird imitating a human voice,2
parrot,"A type of bird that has soft, beautiful feathers and repeats words",2
parrot,,2
parrot,,2
parrot,A bird that can be trained to talk,2
rebuke,A bad thing or a bad word,0
rebuke,It's a bad word,0
rebuke,He mocks,0
rebuke,cuisine,0
rebuke,Correcting errors for a young child (S),0
rebuke,Insulting and cursing / insemination,1
rebuke,Reprimanding him for his mistake,1
rebuke,bad talk(s),1
rebuke,insult,1
rebuke,Disparaging others,1
rebuke,Someone scolds someone,1
rebuke, Reprimand,2
rebuke,Blame and reproach,2
rebuke,Reprimanding or blaming someone for a mistake,2
rebuke,Blame violently,2
rebuke,Severe blaming a person is an expression of dissatisfaction,2
rebuke,,2
core,Fruit seed,0
core,Located inside the tree,0
core,inside the plant,0
core,Something to eat and have fun,0
core,What we chirp,0
core,Meaning/origin,1
core,Earth's core,1
core,What's inside thing(s),1
core,"It is called the core of the thing, meaning the origin of the thing",1
core,heart,2
core,Mind,2
core,Basis/essence of content (thing),2
core,"Conclusion, content",2
core, Center or middle,2
core,The inside/center of the thing,2
core,What is inside something (i.e. the essence of something),2
whine,It is selfish and spiteful,0
whine,selfish,0
whine,to regret,0
whine,low voice,0
whine,Animal sound,0
whine,Bee's voice,0
whine,Someone calling for help,0
whine,Thin or low voice,0
whine,Crying,1
whine,Crying softly,1
whine,shouting,1
whine,He's crying,1
whine,Crying loudly,1
whine,The sound of something like the groan of the oppressed expresses the feeling of (S),1
whine,"A sound made by pain, illness, or pain",2
whine,,2
whine,A cry of pain,2
whine, It hurt,2
whine,"Crying, sadness, pain",2
whine,groan,2
Paradox,The difference between two things,0
Paradox,infringement,0
Paradox,Something crucial in a person's life,0
Paradox,comparison,0
Paradox,Points of difference,0
Paradox,farewell,1
Paradox,"Leaving, leaving",1
Paradox,"Separation, abandonment",1
Paradox,The quarrel,1
Paradox,Away and away,2
Paradox,Separation,2
Paradox,Funny or funny,2
Paradox,strange unexpected situation,2
Paradox,A funny and surprising situation,2
Paradox,Inconsistency in what a person says and does,2
punishment,Fabric scraps,0
punishment,short stories,0
punishment,the kill,0
punishment,Someone is saying something,0
punishment,Story - tale,0
punishment,Tells,0
punishment,He cuts,0
punishment,Cloth pieces,0
punishment,rule (s),0
punishment,Justice,1
punishment,revenge,1
punishment,He gets his due,1
punishment,penalty,1
punishment,avenger,1
punishment,Law Enforcement (S),1
punishment,Islamic rule (S),1
punishment,"And there is life for you in retaliation, O people of understanding. (S)",1
punishment,Taking the right and executing the sentence on the one who was killed,2
punishment,Haddad (S) Whoever kills shall be killed,2
punishment,"Taking the legal right “And there is life for you in retaliation, O people of understanding.”",2
punishment,Sentence of death and execution,2
punishment,Executing the sentence on the killer,2
punishment,An Islamic ruling applies to the murderer by killing him,2
punishment,"One of God’s limits: “And there is life for you in retaliation, O people of understanding.”",2
punishment,,2
 desert,girl's name,0
 desert,Something in war (horses and horses know me),0
 desert,Empty or wide,0
 desert,A group of Bedouins,0
 desert,The beginning of something,0
 desert,horses,0
 desert,Spacious place,0
 desert,Empty place,1
 desert,A space or place devoid of people,1
 desert,desert,2
 desert,Barren desert,2
 desert,Barren desert,2
 desert,Deserts or deserts,2
A recipe,fingerprint,0
A recipe,event in history,0
A recipe,characteristic,0
A recipe,Code,0
A recipe,An adjective or a nickname,0
A recipe,Effect,1
A recipe,a scar,1
A recipe,sign (s),1
A recipe,Something bad,1
A recipe,Leave a trace,1
A recipe,spot,1
