topic,question,answer,Rate
cup,cup,cup (s),0
cup,cup,bottle,0
cup,cup, We calibrate with it,1
cup,cup, It is placed with a cup of coffee,1
cup,cup,We drink in it,2
cup,cup,A cup to drink from,2
cup,cup,We put water/juice/tea in it and drink it,2
cup,cup,Something made of glass that we drink from,2
cup,cup,"Something to put water, juice, tea in",2
 Veil, Veil,Colorful,0
 Veil, Veil,short,0
 Veil, Veil,At his death,0
 Veil, Veil,My mother's,0
 Veil, Veil,Made of silk and cotton,1
 Veil, Veil,We wear it and pray/go out with it,1
 Veil, Veil,We wrap it up and wear it (S),1
 Veil, Veil,Women wear it,1
 Veil, Veil,wear (s),1
 Veil, Veil,We wear it and go out with it,1
 Veil, Veil,Women wear it on their heads when they go out on the street,2
 Veil, Veil,Something for a girl to cover her hair with,2
 Veil, Veil,A covering that a girl wears on her head when praying and going out,2
 Veil, Veil, scarf that we wear on our heads,2
 Veil, Veil,head cover,2
 Veil, Veil,A Muslim girl puts it on her head and it is a head covering,2
 Veil, Veil,Hair cover,2
 an orange, an orange, It means orange (s),0
 an orange, an orange,Round,0
 an orange, an orange,juice,0
 an orange, an orange,Tasty,0
 an orange, an orange,Yellow and green,0
 an orange, an orange,We eat it,1
 an orange, an orange,Type of fruit (S),1
 an orange, an orange,We eat it and color it,1
 an orange, an orange,orange,1
 an orange, an orange,fruit (s),1
 an orange, an orange,We eat it (S),1
 an orange, an orange,We peel it and eat it,1
 an orange, an orange,Round fruit and we eat it,2
 an orange, an orange,Fruit (rounded winter/orange in color/pinkle),2
 an orange, an orange,A winter fruit that we eat and make juice from,2
 dog, dog,He runs and drinks,0
 dog, dog,Floating,0
 dog, dog,Dodge (S),0
 dog, dog,He eats cats,0
 dog, dog,An animal walking in the street,0
 dog, dog,Bihuhu (S),1
 dog, dog,"In the street, he bites and dies",1
 dog, dog,An animal that may be a predator first,1
 dog, dog,pet that we can raise at home,2
 dog, dog,A loyal animal and friend of man,2
 dog, dog,An animal guards us,2
 dog, dog,A dog in the street guarding the house or land,2
parrot,parrot,Beitir (S),0
parrot,parrot,We eat it,0
parrot,parrot,A domestic animal that lives in agricultural areas,0
parrot,parrot,domestic,0
parrot,parrot,Colored crow (S),0
parrot,parrot,Bathroom uniform,0
parrot,parrot,bird,1
parrot,parrot,"Bagghan, a bird",1
parrot,parrot,He repeats the words (S),1
parrot,parrot,It eats grains and has a beautiful color,1
parrot,parrot,He flies and lives in a nest,1
parrot,parrot,He sings,1
parrot,parrot,A bird repeating the words,2
parrot,parrot,A bird imitating a human voice,2
parrot,parrot,"A type of bird that has soft, beautiful feathers and repeats words",2
parrot,parrot,,2
parrot,parrot,,2
parrot,parrot,A bird that can be trained to talk,2
rebuke,rebuke,A bad thing or a bad word,0
rebuke,rebuke,It's a bad word,0
rebuke,rebuke,He mocks,0
